S.No.,Company Name,Email Address,Revenue for 2023 (in Rs. Cr.),Revenue for 2022 (in Rs. Cr.),Revenue for  2021 (in Rs. Cr.),"Profitable
(Yes/No)",,
1,3M India,vsrinivasan@mmm.com,3797.66,3113.02,2447.23,,,
2,Abbott India,krupa.anandpara@abbott.com,5502.88,4996.48,4390.92,,,
3,Ambuja Cements,shares@ambujacement.com,20937.7,16532.99,14250.59,,,
4,Ashok Leyland,ramanathan.n5@ashokleyland.com,36260.28,21764.42,15420.95,,,
5,Bata,jamshed.alam@bata.com,3488.92,2443.62,1801.33,,,
6,Bosch,investor@in.bosch.com,15402.7,12177.9,10222,,,
7,Britannia,suhasmv@britindia.com,15839.01,13731.05,12671.53,,,
8,Castrol,chandana.dhar@bp.com,5157.76,4841.54,4240.49,,,
9,Colgate,randhir_singh@colpal.com,5279.77,5126.04,4871.57,,,
10,CRISIL ,minal.bhosale@crisil.com,,1716.95,1544.33,,,
11,Cummins India,janhvie.khele@cummins.com,8164.42,6427.9,4699.39,,,
12,GSK Pharma,ajay.a.nadkani@gsk.com,3317.86,3293.72,3030.66,,,
13,Honeywell Automation,farah.irani@honeywell.com,3575.84,3030.66,3126.75,,,
14,Hindustan Unilever,comsec.hul@unilever.com,59784,51586,46509,,,
15,Kansai Nerolac Paints,gtgovindarajan@nerolac.com,7111.85,5981.76,4728.71,,,
16,Maruti Suzuki,sanjeev.grover@maruti.co.in,119684.2,90089.1,73278.9,,,
17,MphasiS,subramanian.narayan@mphasis.com,9543.13,7512.77,5650.71,,,
18,Oracle Financial,investors-vp-ofss_in_grp@oracle.com,4508.22,4152.15,3761.69,,,
19,Procter and Gamble Hygiene and Health Care,machado.f.1@pg.com,3958.48,3925.24,3613.52,,,
20,Pfizer,prajeet.nair@pfizer.com,2525.81,2673.64,2319.67,,,
21,Sanofi,Girish.Tekchandani@sanofi.com,,2841.6,3031,,,
22,Siemens,ketan.thaker@siemens.com,18513.8,15147.6,13182.1,,,
23,SKF India,pradeep.bhandari@skf.com,4356.79,3700.29,2706.96,,,
24,Sterlite Technologies,secretarial@sterlite.com,5531,5080.49,4199.68,,,
25,United Spirits,Ramachandran.Venkatesan@diageo.com,10447.9,9423.2,7937,,,
26,Vodafone Idea,investorrelations@vodafoneidea.com,42187.8,38318.2,41931.1,,,
27,Whirlpool of India,investor_contact@whirlpool.com,6332.28,6055.02,5989.49,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
